Date,PriceUSD,BlkCnt,FeeMeanUSD,DiffMean,BlkSizeMeanByte,RevUSD,TxTfrValAdjUSD,HashRate
2010-07-01,,211,,19.4047963283821,360.924170616114,,,0.000203534325751895
2010-07-02,,167,,19.4047963283821,705.215568862275,,,0.000161091148817851
2010-07-03,,212,,19.4047963283821,318.561320754717,,,0.000204498943409487
2010-07-04,,166,,19.4047963283821,471.307228915663,,,0.000160126531160259
2010-07-05,,179,,19.4047963283821,361.217877094972,,,0.000172666560708954
2010-07-06,,169,,23.2588630871326,300.011834319527,,,0.00019539853605246
2010-07-07,,156,,23.5012572229031,425.871794871795,,,0.000182247597976984
2010-07-08,,151,,23.5012572229031,338.721854304636,,,0.000176406328811055
2010-07-09,,199,,23.5012572229031,309.587939698492,,,0.000232482512803973
2010-07-10,,198,,23.5012572229031,341.131313131313,,,0.000231314258970787
2010-07-11,,179,,23.5012572229031,600.91061452514,,,0.000209117436140257
2010-07-12,,659,,23.5012572229029,887.315629742033,,,0.000769879276069431
2010-07-13,,692,,35.4239176990991,524.306358381503,,,0.00121856529011074
2010-07-14,,578,,45.3858223410131,2844.1678200692,,,0.00130404976730999
2010-07-15,,624,,45.3858223410132,874.107371794872,,,0.00140783227474296
2010-07-16,,505,,63.7198971084715,612.607920792079,,,0.00159960429934736
2010-07-17,,173,,181.54328936405,804.589595375723,,,0.00156124989442647
2010-07-18,0.08584,172,0.0002734419354838708016,181.54328936405,795.866279069767,738.2918136,1474.778412,0.00155222532856273
2010-07-19,0.0808,174,0.000012095808383233516,181.54328936405,800.310344827586,702.96404,3251.693384,0.0015702744602902
2010-07-20,0.0747357288135593,181,0,181.54328936405,1090.74585635359,676.358345762711665,1200.497201149830154539,0.00163344642133636
2010-07-21,0.0791928626534191,207,0,181.543289364051,603.821256038647,819.646128462887685,1649.915979450731542265,0.00186808513379352
2010-07-22,0.0584697603740503,176,0,181.54328936405,572.443181818182,514.53389129164264,1932.368864694799586209,0.00158832359201768
2010-07-23,0.0605928696668615,194,0.00000275422134849370729967589394825,181.54328936405,530.932989690722,587.751441697253218615,1166.942928696668913125,0.00175076577756494
2010-07-24,0.05454,189,0,181.54328936405,1519.53968253968,515.403,2149.1197938,0.00170564294824626
2010-07-25,0.050540618351841,231,0.00009244072872649748556085406625,181.543289364051,3224.28571428571,583.89121516316740731,1564.2018136184678454,0.00208467471452321
2010-07-26,0.056,243,0.000370044052863436,181.543289364051,1003.1646090535,680.484,4300.1924,0.00219296950488805
2010-07-27,0.058622016364699,166,0.00015164768712103620650128670041,241.192985322335,764.10843373494,486.60201257796604833,1385.42114738889523088,0.00199030154330266
2010-07-28,0.0589110987726476,159,0.0000216282005983496355292945686692,244.213223092375,4922.2893081761,468.40509189625969998,3800.374422486091649708,0.00193024492155981
2010-07-29,0.0699,180,0.000100502423263327701,244.213223092375,1125.45555555556,629.162211,1089.080445,0.00218518293006771
2010-07-30,0.064657381648159,182,0.00013756889712374286959995274631,244.213223092375,613.681318681319,588.4015702127413477,1180.66253953606130611,0.0022094627404018
2010-07-31,0.0675457989479836,203,0.000222757422062498977039959461308,244.213223092375,473.088669950739,685.610798519707414916,857.008938808205279752,0.00246440074890969
2010-08-01,0.0611,239,0.000142895161290322285,244.213223092375,431.297071129707,730.162719,4111.534479,0.00290143733492324
2010-08-02,0.06,242,0.0000812903225806452,244.213223092375,438.012396694215,726.0126,3789.6666,0.00293785705042437
